Media_Online,Seed_URL,URL_Word,Parent_Page,Anchor_Text,Surrounding_Text,Class
kompas,https://pesonaindonesia.kompas.com/read/2019/09/21/184729827/jalan-jalan-di-sekitar-geopark-ciletuh,0.66,0.75,0.66,0,1
kontan,https://keuangan.kontan.co.id/news/kampanye-anti-sampah-plastik-jamkrindo-mulai-berdayakan-masyarakat-kawasan-ciletuh?page=all,0.5,0.89,0,0.24,1
kumparan,https://kumparan.com/sukabumi-update/pengguna-jalur-geopark-ciletuh-girimukti-sukabumi-diperiksa-suhu-tubuh-1tCv7D7jgso,0.71,0.8,0.26,0.44,1
kumparan,https://kumparan.com/sukabumi-update/pantai-palangpang-penuh-sampah-ikon-geopark-ciletuh-sukabumi-kotor-1se7ocUbeEE,0.71,0.75,0.26,0.44,1
kumparan,https://kumparan.com/kumparannews/banjir-dan-longsor-kepung-wilayah-di-sekitar-geopark-ciletuh-sukabumi-1sr9wUTpvKI,0.71,0.89,0.71,0.87,1
kumparan,https://kumparan.com/sukabumi-update/geopark-ciletuh-dikepung-bencana-bupati-sukabumi-opd-harus-lebih-responsif-1srGDUFgPgk,0.71,0.63,0.81,0.87,1
kumparan,https://kumparan.com/sukabumi-update/studio-alam-girimukti-spot-favorit-pre-wedding-di-geopark-ciletuh-1scc2nofAZv,0.72,0.85,0.34,0.49,1
kumparan,https://kumparan.com/kumparantravel/pemkab-sukabumi-diminta-fokus-kembangkan-geopark-ciletuh-1sE5g72DOdC,0.71,0.79,0.75,0.79,1
kumparan,https://kumparan.com/sukabumi-update/sampah-di-geopark-ciletuh-palabuhanratu-capai-600-ton-saat-masa-libur-1sZ8Irp3AhJ,0.72,0.85,0.26,0.44,1
kumparan,https://kumparan.com/kumparanoto/menikmati-alam-geopark-ciletuh-dengan-wuling-almaz-1552021476560854364,0.72,0.71,0.66,0.75,1
kumparan,https://kumparan.com/sukabumi-update/bangkai-paus-dikubur-di-pesisir-pantai-geopark-ciletuh-1rLPpySg67d,0.66,0.77,0.71,0.79,1
kumparan,https://kumparan.com/kumparantravel/eksotisme-bukit-panenjoan-spot-wisata-instagenic-di-geopark-ciletuh-1550795404674471642,0.7,0.89,0.7,0.75,1
kumparan,https://kumparan.com/sukabumi-update/bksda-paus-mati-di-geopark-ciletuh-jenis-pilot-1rLkXSeEVyG,0.66,0.82,0.26,0.44,1
