No,Tahun,Media_Online,Seed_URL,URL_Word,Parent_Page,Anchor_Text,Surrounding_Text,Class
1,2019,antaranews,https://www.antaranews.com/berita/943420/pemprov-jabar-percepat-pembangunan-amphitheater-geopark-ciletuh,0.8,0.98,0.8,0.98,1
2,2019,antaranews,https://jabar.antaranews.com/berita/108176/pengembangan-geopark-ciletuh-sukabumi-butuh-bantuan-pemerintah-provinsi-dan-pusat,0.85,0.96,0.39,0.0,1
3,2020,antaranews,https://www.antaranews.com/video/1301262/membiasakan-para-siswa-di-sekitar-geopark-ciletuh-untuk-meminimalisasi-sampah-plastik,0.76,0.98,0.85,0.2,1
4,2020,antaranews,https://www.antaranews.com/berita/1301114/akses-ke-geopark-ciletuh-palabuhan-ratu-dikepung-banjir-dan-longsor,0.82,0.98,0.76,0.98,1
5,2020,antaranews,https://www.antaranews.com/video/1263389/kampanye-antisampah-plastik-untuk-menjaga-keasrian-geopark-ciletuh,0.76,0.89,0.2,0.32,1
6,2020,antaranews,https://www.antaranews.com/berita/1236895/kampanye-anti-sampah-perum-jamkrindo-di-geopark-ciletuh-diapresiasi,0.76,0.98,0.76,0.98,1
7,2019,antaranews,https://www.antaranews.com/berita/1209759/perum-jamkrindo-tanam-ratusan-pohon-di-kawasan-geopark-ciletuh,0.76,0.98,0.82,0.98,1
8,2019,antaranews,https://www.antaranews.com/video/1031836/surga-wisata-geopark-ciletuh-palabuhan-ratu,0.85,0.98,0.54,0.57,1
9,2019,antaranews,https://www.antaranews.com/berita/974132/pelaku-usaha-geopark-ciletuh-sukabumi-dapat-pelatihan-keuangan,0.85,0.98,0.85,0.98,1
10,2019,antaranews,https://ramadhan.antaranews.com/berita/900853/minibus-bak-terbuka-terjun-ke-jurang-di-jalur-menuju-geopark-ciletuh,0.76,0.91,0.0,0.0,1
11,2018,antaranews,https://www.antaranews.com/video/776375/geopark-ciletuh-surganya-olah-raga-selancar,0.76,0.94,0.2,0.25,1
12,2018,antaranews,https://www.antaranews.com/berita/776237/pakar-geopark-ciletuh-rawan-gempa-dan-tsunami,0.76,0.98,0.85,0.99,1
13,2018,antaranews,https://www.antaranews.com/video/758490/festival-geopark-ciletuh-untuk-sukabumi-yang-kian-menarik,0.85,0.92,0.93,0.91,1
14,2018,antaranews,https://www.antaranews.com/berita/723087/seperempat-juta-lebih-turis-tumplek-di-geopark-ciletuh,0.76,1.0,0.85,0.98,1
15,2018,antaranews,https://www.antaranews.com/foto/719853/wisata-geopark-ciletuh-palabuhan-ratu,0.85,0.96,0.0,0.0,1
16,2018,antaranews,https://www.antaranews.com/berita/715991/jabar-harus-pertahankan-ciletuh-pelabuhanratu-geopark-dunia,0.86,0.98,0.82,0.98,1
17,2018,antaranews,https://www.antaranews.com/berita/715656/jabar-berkomitmen-pertahankan-ciletuh-sebagai-geopark-dunia,0.8,0.97,0.65,0.78,1
18,2018,antaranews,https://www.antaranews.com/foto/715643/penetapan-geopark-ciletuh-pelabuhanratu,0.82,0.96,0.0,0.0,1
19,2019,antaranews,https://www.antaranews.com/berita/1101124/vokasi-ui-berdayakan-masyarakat-di-geopark-gunung-pongkor,0.51,0.64,0.0,0.57,0
20,2019,antaranews,https://www.antaranews.com/berita/986164/jokowi-dorong-taman-bumi-kaldera-toba-diakui-unesco,0.27,0.84,0.0,0.39,1
21,2019,antaranews,https://www.antaranews.com/berita/1050906/taman-bumi-gunungsewu-pertahankan-keanggotaan-di-unesco-global-geopark,0.58,0.61,0.54,0.87,0
22,2019,antaranews,https://www.antaranews.com/berita/1197308/pemkab-bogor-undang-menteri-dan-13-kepala-daerah-bahas-perbatasan,0.0,0.89,0.0,0.35,1
23,2019,antaranews,https://www.antaranews.com/berita/815290/antam-kembangkan-taman-buah-nusantara-di-bogor,0.16,0.66,0.16,0.16,0
24,2019,antaranews,https://www.antaranews.com/berita/801240/dikembangkan-36-titik-geopark-di-meratus,0.51,0.59,0.0,0.5,0
25,2013,antaranews,https://www.antaranews.com/berita/395853/kawasan-wisata-geologi-ekologi-ciletuh-diperkenalkan-bio-farma,0.59,0.68,0.25,0.25,1
26,2015,antaranews,https://www.antaranews.com/berita/536394/hari-ini-ciletuh-terima-sertifikat-geopark,0.76,0.93,0.8,0.98,1
27,2016,antaranews,https://www.antaranews.com/berita/556066/menjajal-geopark-ciletuh-sukabumi,0.85,0.9,0.76,0.98,1
28,2016,antaranews,https://www.antaranews.com/berita/561409/warga-sekitar-geopark-ciletuh-dilatih-jadi-pemandu-wisata,0.78,0.91,0.87,0.94,1
29,2016,antaranews,https://www.antaranews.com/berita/568388/kawasan-geopark-ciletuh-sukabumi-akan-diperluas,0.85,0.99,0.85,0.98,1
30,2016,antaranews,https://www.antaranews.com/berita/594507/jalur-menuju-geopark-ciletuh-sudah-bisa-dilalui,0.76,0.91,0.85,0.98,1
31,2016,antaranews,https://www.antaranews.com/berita/594272/longsor-tutup-jalan-menuju-wisata-geopark-ciletuh,0.78,0.91,0.85,0.98,1
32,2016,antaranews,https://www.antaranews.com/berita/586684/bio-farma-promosikan-geopark-ciletuh-ke-mancanegara,0.76,0.99,0.85,0.98,1
33,2016,antaranews,https://www.antaranews.com/berita/579068/empat-negara-berpartisipasi-pada-festival-taman-bumi-ciletuh-2016,0.6,0.8,0.6,1.0,1
34,2017,antaranews,https://www.antaranews.com/berita/607361/tim-penilai-unesco-siap-kunjungi-geopark-ciletuh,0.77,0.98,0.77,0.98,1
35,2017,antaranews,https://www.antaranews.com/berita/604537/tahun-ini-dibangun-jalan-baru-33-km-ke-geopark-ciletuh,0.76,0.98,0.8,0.98,1
36,2016,antaranews,https://www.antaranews.com/berita/598603/jabar-siapkan-rp200-miliar-untuk-infrastruktur-geopark-ciletuh,0.8,0.96,0.76,1.0,1
37,2016,antaranews,https://www.antaranews.com/berita/594693/jabar-presentasikan-geopark-ciletuh-di-jepang,0.8,0.82,0.82,0.99,1
38,2017,antaranews,https://www.antaranews.com/berita/643659/tim-unesco-berencana-kunjungi-geopark-ciletuh,0.77,1.0,0.77,0.99,1
39,2017,antaranews,https://www.antaranews.com/berita/628825/paramitha-rusady-jadi-duta-geopark-ciletuh,0.76,0.91,0.76,0.98,1
40,2017,antaranews,https://www.antaranews.com/berita/658630/geopark-ciletuh-diyakini-jadi-destinasi-dunia,0.76,0.98,0.76,0.98,1
41,2017,antaranews,https://www.antaranews.com/berita/644442/unesco-sudah-di-sukabumi-untuk-nilai-geopark-ciletuh,0.87,0.93,0.76,0.99,1
42,2017,antaranews,https://www.antaranews.com/berita/668634/gelombang-pasang-merusak-jalur-joging-geopark-palabuhanratu,0.6,0.98,0.6,0.65,1
43,2018,antaranews,https://www.antaranews.com/berita/701842/ada-puncak-aher-di-taman-bumi-ciletuh,0.6,0.98,0.79,0.98,1
44,2018,antaranews,https://www.antaranews.com/berita/701701/geopark-ciletuh-bagian-geopark-global-unesco,0.77,0.99,0.76,0.98,1
45,2020,beritasatu,https://www.beritasatu.com/nasional/600589/akses-ke-geopark-ciletuh-di-sukabumi-dikepung-banjir-dan-longsor,0.85,0.98,0.85,0.85,1
46,2019,beritasatu,https://www.beritasatu.com/nasional/571481/sekda-sukabumi-pengembangan-geopark-ciletuh-butuh-bantuan-pusat,0.85,0.96,0.85,0.85,1
47,2019,beritasatu,https://www.beritasatu.com/mobil/536582/menjajal-keandalan-xenia-1500-cc-di-tanjakan-ekstrem-geopark-ciletuh,0.76,0.94,0.76,0.85,1
48,2018,beritasatu,https://www.beritasatu.com/nasional/499088/300000-turis-kunjungi-geopark-ciletuh-selama-libur-lebaran,0.76,0.99,0.87,0.87,1
49,2018,beritasatu,https://www.beritasatu.com/video-berita/497389/menikmati-mandi-air-panas-di-geopark-ciletuh,0.76,0.87,0.0,0.87,1
50,2018,beritasatu,https://www.beritasatu.com/rehat/493145/unesco-terbitkan-sertifikat-untuk-geopark-ciletuh,0.77,0.96,0.9,0.9,1
51,2018,beritasatu,https://www.beritasatu.com/nasional/488727/ciletuh-dan-rinjani-jadi-geopark-dunia,0.76,0.98,0.76,0.76,1
52,2018,beritasatu,https://www.beritasatu.com/saujana/486773/festival-hari-nelayan-pelabuanratu-ke58-sukses,0.32,0.98,0.91,0.91,1
53,2018,beritasatu,https://www.beritasatu.com/ekonomi/486491/menhub-targetkan-pelabuhan-ratu-beroperasi-2019,0.32,0.94,0.32,0.91,1
54,2019,cnnindonesia,https://www.cnnindonesia.com/teknologi/20190201173709-384-365784/menggoyang-xpander-dari-jakarta-sampai-geopark-ciletuh,0.76,0.96,0.39,0.46,1
55,2020,cnnindonesia,https://www.cnnindonesia.com/nasional/20200220140930-20-476472/longsor-terjang-ciawi-bogor-4-warga-tewas,0.0,0.89,0.0,0.0,1
