No,Media_Online,Seed_URL
261,liputan6,https://www.liputan6.com/lifestyle/read/4073500/natuna-siap-ajukan-diri-jadi-unesco-global-geopark
262,liputan6,https://www.liputan6.com/lifestyle/read/3913153/menteri-pariwisata-siap-daftarkan-2-geopark-lain-di-unesco
263,liputan6,https://www.liputan6.com/news/read/4109459/bappenas-optimis-geopark-banyuwangi-masuk-unesco-global-geopark
264,liputan6,https://www.liputan6.com/regional/read/3860964/selangkah-lagi-banyuwangi-bakal-jadi-geopark-dunia
265,liputan6,https://www.liputan6.com/bisnis/read/4081183/persiapan-natuna-ajukan-diri-jadi-unesco-global-geopark
266,liputan6,https://www.liputan6.com/health/read/4107073/bali-gravity-enduro-pacu-adrenalin-di-rock-garden-batur-unesco-global-geopark
267,liputan6,https://www.liputan6.com/news/read/4011283/pengembangan-geopark-banyuwangi-didukung-penuh-bppt
268,liputan6,https://www.liputan6.com/lifestyle/read/4015542/16-geosite-songsong-atraksi-danau-toba-berkelas-dunia
269,liputan6,https://www.liputan6.com/regional/read/4017947/geopark-bukit-penyabung-dari-kampung-menuju-wisata-internasional
270,liputan6,https://www.liputan6.com/news/read/4111798/kemenpar-gelar-fgd-penyusunan-master-plan-geopark-banyuwangi
271,liputan6,https://www.liputan6.com/news/read/4036916/masyarakat-wajib-tahu-gerakan-sadar-wisata-dari-kemenpar
156,mediaindonesia,https://mediaindonesia.com/read/detail/235115-lipi-berencana-bangun-pltamh-di-kawasan-geopark-ciletuh
157,mediaindonesia,https://mediaindonesia.com/read/detail/237541-bea-cukai-bogor-lirik-potensi-kabupaten-sukabumi
337,mediaindonesia,https://mediaindonesia.com/read/detail/235432-masih-ada-penambangan-liar-bupati-bogor-mengaku-kecolongan
338,mediaindonesia,https://mediaindonesia.com/read/detail/277393-pemprov-jabar-bentuk-tim-khusus-tangani-pencemaran-kali-bekasi
339,mediaindonesia,https://mediaindonesia.com/read/detail/253594-bergerak-bersama-untuk-wisata
247,merdeka,https://www.merdeka.com/uang/pengembangan-infrastruktur-geopark-ciletuh-butuh-sentuhan-tangan-pemerintah-pusat.html
248,merdeka,https://www.merdeka.com/peristiwa/amphitheatre-geopark-ciletuh-diakselerasi-rampung-sebelum-evaluasi-unesco.html
249,merdeka,https://www.merdeka.com/gaya/jelajah-alam-dan-budaya-lewat-festival-geopark-ciletuh-2015.html
250,merdeka,https://m.merdeka.com/bandung/komunitas/bio-farma-terima-apresiasi-dari-ggn-terkait-geopark-ciletuh-180116k.html
99,okezone,https://lifestyle.okezone.com/read/2019/11/06/406/2126222/intip-liburan-wulan-guritno-ke-geopark-ciletuh-seksi-pakai-bikini-hitam?page=3
100,okezone,https://economy.okezone.com/read/2016/11/28/470/1553053/pemerintah-siapkan-rp200-m-kembangkan-geopark-nasional-ciletuh
101,okezone,https://lifestyle.okezone.com/read/2016/06/27/406/1426243/inilah-6-titik-geopark-ciletuh-yang-wajib-dijelajahi
